# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 17
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.6
# SW velocity: 700.0
# IMF By: -1.3
# IMF Bz: 3.9
# Dst: -34.0
# DIR: 1
# Geographic Geocentric Latitude: 69.65
# Longitude: 18.955
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.526   0.766   1.432   1.708     3362.95    -7478.20    -7320.84    10992.16
  -0.529   0.773   1.439   1.717     3307.37    -7370.11    -7173.25    10803.37
  -0.532   0.780   1.446   1.727     3252.98    -7264.09    -7029.21    10618.79
  -0.536   0.787   1.452   1.736     3199.76    -7160.07    -6888.62    10438.31
  -0.539   0.794   1.459   1.746     3147.67    -7058.03    -6751.39    10261.82
  -0.542   0.801   1.465   1.755     3096.69    -6957.91    -6617.41    10089.21
  -0.545   0.808   1.472   1.765     3046.78    -6859.67    -6486.61     9920.38
  -0.548   0.815   1.478   1.775     2997.91    -6763.26    -6358.88     9755.23
  -0.551   0.821   1.485   1.784     2950.07    -6668.64    -6234.14     9593.65
  -0.554   0.828   1.491   1.794     2903.22    -6575.77    -6112.32     9435.57
  -0.557   0.835   1.498   1.803     2857.35    -6484.61    -5993.32     9280.87
  -0.560   0.842   1.504   1.813     2812.41    -6395.13    -5877.08     9129.48
  -0.563   0.849   1.511   1.822     2768.40    -6307.28    -5763.52     8981.31
  -0.566   0.856   1.517   1.832     2725.29    -6221.02    -5652.56     8836.27
  -0.569   0.864   1.523   1.841     2683.05    -6136.33    -5544.13     8694.29
  -0.572   0.871   1.530   1.851     2641.66    -6053.16    -5438.17     8555.28
  -0.576   0.878   1.536   1.860     2601.11    -5971.48    -5334.61     8419.17
  -0.579   0.885   1.543   1.870     2561.36    -5891.26    -5233.38     8285.88
  -0.582   0.892   1.549   1.880     2522.41    -5812.47    -5134.43     8155.35
  -0.585   0.899   1.555   1.889     2484.24    -5735.07    -5037.69     8027.50
  -0.588   0.906   1.561   1.899     2446.81    -5659.04    -4943.10     7902.27
  -0.591   0.913   1.568   1.908     2410.12    -5584.34    -4850.61     7779.59
  -0.594   0.921   1.574   1.918     2374.15    -5510.95    -4760.17     7659.40
  -0.597   0.928   1.580   1.927     2338.88    -5438.83    -4671.71     7541.63
  -0.600   0.935   1.586   1.937     2304.29    -5367.96    -4585.19     7426.22
  -0.603   0.942   1.592   1.946     2270.37    -5298.32    -4500.56     7313.13
  -0.607   0.949   1.599   1.956     2237.10    -5229.87    -4417.76     7202.28
  -0.610   0.957   1.605   1.965     2204.47    -5162.59    -4336.76     7093.63
  -0.613   0.964   1.611   1.975     2172.46    -5096.46    -4257.51     6987.12
  -0.616   0.971   1.617   1.984     2141.05    -5031.45    -4179.95     6882.70
  -0.619   0.979   1.623   1.994     2110.24    -4967.54    -4104.06     6780.33
  -0.622   0.986   1.629   2.003     2080.01    -4904.70    -4029.77     6679.94
  -0.625   0.993   1.635   2.013     2050.34    -4842.92    -3957.07     6581.50
  -0.628   1.001   1.641   2.022     2021.22    -4782.16    -3885.90     6484.95
  -0.631   1.008   1.647   2.032     1992.64    -4722.42    -3816.23     6390.26
  -0.635   1.015   1.653   2.041     1964.59    -4663.66    -3748.02     6297.38
  -0.638   1.023   1.659   2.051     1937.06    -4605.87    -3681.24     6206.27
  -0.641   1.030   1.665   2.060     1910.02    -4549.03    -3615.84     6116.88
  -0.644   1.038   1.671   2.069     1883.49    -4493.11    -3551.81     6029.17
  -0.647   1.045   1.677   2.079     1857.43    -4438.11    -3489.09     5943.11
  -0.650   1.053   1.682   2.088     1831.84    -4384.00    -3427.66     5858.66
  -0.653   1.060   1.688   2.098     1806.71    -4330.76    -3367.50     5775.78
  -0.656   1.068   1.694   2.107     1782.03    -4278.37    -3308.56     5694.44
  -0.660   1.075   1.700   2.117     1757.80    -4226.83    -3250.82     5614.60
  -0.663   1.083   1.706   2.126     1733.99    -4176.10    -3194.25     5536.22
  -0.666   1.090   1.711   2.136     1710.60    -4126.19    -3138.82     5459.28
  -0.669   1.098   1.717   2.145     1687.62    -4077.06    -3084.51     5383.74
  -0.672   1.105   1.723   2.155     1665.05    -4028.70    -3031.28     5309.57
  -0.675   1.113   1.729   2.164     1642.87    -3981.11    -2979.12     5236.74
  -0.678   1.121   1.734   2.173     1621.08    -3934.26    -2928.00     5165.22
  -0.681   1.128   1.740   2.183     1599.66    -3888.13    -2877.89     5094.97
  -0.685   1.136   1.746   2.192     1578.61    -3842.73    -2828.77     5025.98
  -0.688   1.144   1.751   2.202     1557.93    -3798.02    -2780.62     4958.22
  -0.691   1.151   1.757   2.211     1537.60    -3754.00    -2733.41     4891.65
  -0.694   1.159   1.762   2.221     1517.61    -3710.66    -2687.13     4826.26
  -0.697   1.167   1.768   2.230     1497.96    -3667.97    -2641.75     4762.01
  -0.700   1.174   1.773   2.239     1478.65    -3625.94    -2597.25     4698.89
  -0.703   1.182   1.779   2.249     1459.65    -3584.54    -2553.61     4636.86
  -0.707   1.190   1.784   2.258     1440.98    -3543.77    -2510.81     4575.90
  -0.710   1.197   1.790   2.268     1422.62    -3503.61    -2468.83     4516.00
  -0.713   1.205   1.795   2.277     1404.56    -3464.06    -2427.66     4457.13
  -0.716   1.213   1.801   2.286     1386.81    -3425.09    -2387.27     4399.26
  -0.719   1.221   1.806   2.296     1369.34    -3386.70    -2347.65     4342.38
  -0.722   1.229   1.812   2.305     1352.16    -3348.88    -2308.78     4286.47
  -0.726   1.236   1.817   2.314     1335.27    -3311.62    -2270.65     4231.50
  -0.729   1.244   1.822   2.324     1318.65    -3274.90    -2233.23     4177.46
  -0.732   1.252   1.828   2.333     1302.29    -3238.73    -2196.52     4124.32
  -0.735   1.260   1.833   2.343     1286.21    -3203.08    -2160.49     4072.07
  -0.738   1.268   1.838   2.352     1270.38    -3167.95    -2125.14     4020.69
  -0.741   1.276   1.844   2.361     1254.80    -3133.32    -2090.44     3970.16
  -0.744   1.284   1.849   2.371     1239.48    -3099.20    -2056.39     3920.47
  -0.748   1.292   1.854   2.380     1224.40    -3065.57    -2022.96     3871.59
  -0.751   1.299   1.859   2.389     1209.56    -3032.42    -1990.15     3823.52
  -0.754   1.307   1.865   2.399     1194.95    -2999.74    -1957.94     3776.22
  -0.757   1.315   1.870   2.408     1180.57    -2967.53    -1926.32     3729.70
  -0.760   1.323   1.875   2.418     1166.42    -2935.77    -1895.28     3683.93
  -0.763   1.331   1.880   2.427     1152.49    -2904.46    -1864.80     3638.90
  -0.767   1.339   1.885   2.436     1138.77    -2873.59    -1834.87     3594.59
  -0.770   1.347   1.890   2.446     1125.27    -2843.16    -1805.48     3550.99
  -0.773   1.355   1.895   2.455     1111.98    -2813.15    -1776.62     3508.09
  -0.776   1.363   1.900   2.464     1098.89    -2783.55    -1748.28     3465.86
  -0.779   1.371   1.905   2.474     1086.00    -2754.37    -1720.45     3424.31
  -0.783   1.379   1.910   2.483     1073.31    -2725.59    -1693.12     3383.41
  -0.786   1.387   1.915   2.492     1060.81    -2697.20    -1666.27     3343.15
  -0.789   1.396   1.920   2.502     1048.51    -2669.21    -1639.89     3303.53
  -0.792   1.404   1.925   2.511     1036.38    -2641.60    -1613.98     3264.52
  -0.795   1.412   1.930   2.520     1024.45    -2614.36    -1588.53     3226.12
  -0.798   1.420   1.935   2.529     1012.69    -2587.50    -1563.53     3188.31
  -0.802   1.428   1.940   2.539     1001.10    -2561.00    -1538.97     3151.08
  -0.805   1.436   1.945   2.548      989.69    -2534.85    -1514.83     3114.43
  -0.808   1.444   1.950   2.557      978.45    -2509.06    -1491.11     3078.34
  -0.811   1.452   1.955   2.567      967.37    -2483.61    -1467.81     3042.79
  -0.814   1.461   1.959   2.576      956.46    -2458.50    -1444.91     3007.79
  -0.817   1.469   1.964   2.585      945.71    -2433.73    -1422.41     2973.32
  -0.821   1.477   1.969   2.595      935.11    -2409.28    -1400.29     2939.37
  -0.824   1.485   1.974   2.604      924.67    -2385.16    -1378.55     2905.92
  -0.827   1.493   1.978   2.613      914.39    -2361.35    -1357.19     2872.98
  -0.830   1.502   1.983   2.622      904.25    -2337.86    -1336.19     2840.53
  -0.833   1.510   1.988   2.632      894.25    -2314.67    -1315.54     2808.57
  -0.837   1.518   1.993   2.641      884.40    -2291.79    -1295.25     2777.07
  -0.840   1.526   1.997   2.650      874.70    -2269.20    -1275.30     2746.05
  -0.843   1.535   2.002   2.659      865.13    -2246.91    -1255.69     2715.47
  -0.846   1.543   2.006   2.669      855.70    -2224.90    -1236.41     2685.35
  -0.849   1.551   2.011   2.678      846.40    -2203.18    -1217.45     2655.67
  -0.852   1.559   2.016   2.687      837.23    -2181.73    -1198.81     2626.42
  -0.856   1.568   2.020   2.697      828.19    -2160.56    -1180.49     2597.59
  -0.859   1.576   2.025   2.706      819.28    -2139.66    -1162.46     2569.18
