 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -1.168  -0.530   1.198   1.755     8247.94     3775.55    -4456.27    10106.52
  -1.176  -0.534   1.203   1.765     8119.29     3720.82    -4357.80     9937.69
  -1.184  -0.538   1.207   1.775     7993.24     3667.15    -4261.79     9772.55
  -1.193  -0.542   1.211   1.784     7869.74     3614.51    -4168.16     9610.98
  -1.201  -0.545   1.216   1.794     7748.72     3562.87    -4076.84     9452.90
  -1.209  -0.549   1.220   1.803     7630.12     3512.22    -3987.77     9298.21
  -1.217  -0.553   1.224   1.813     7513.88     3462.52    -3900.88     9146.82
  -1.225  -0.557   1.229   1.822     7399.95     3413.77    -3816.11     8998.66
  -1.234  -0.561   1.233   1.832     7288.27     3365.93    -3733.41     8853.62
  -1.242  -0.564   1.237   1.841     7178.78     3318.98    -3652.70     8711.64
  -1.250  -0.568   1.241   1.851     7071.43     3272.90    -3573.95     8572.64
  -1.258  -0.572   1.245   1.861     6966.17     3227.68    -3497.08     8436.53
  -1.267  -0.576   1.249   1.870     6862.95     3183.29    -3422.06     8303.25
  -1.275  -0.580   1.254   1.880     6761.72     3139.72    -3348.82     8172.72
  -1.283  -0.584   1.258   1.889     6662.44     3096.94    -3277.33     8044.87
  -1.291  -0.587   1.262   1.899     6565.05     3054.94    -3207.53     7919.64
  -1.300  -0.591   1.266   1.908     6469.51     3013.69    -3139.37     7796.96
  -1.308  -0.595   1.270   1.918     6375.79     2973.19    -3072.82     7676.77
  -1.316  -0.599   1.274   1.927     6283.83     2933.42    -3007.83     7559.00
  -1.325  -0.603   1.278   1.937     6193.60     2894.36    -2944.35     7443.60
  -1.333  -0.607   1.282   1.946     6105.05     2855.98    -2882.34     7330.50
  -1.341  -0.611   1.286   1.956     6018.15     2818.29    -2821.77     7219.65
  -1.350  -0.615   1.289   1.965     5932.87     2781.26    -2762.60     7111.00
  -1.358  -0.618   1.293   1.975     5849.15     2744.88    -2704.79     7004.49
  -1.366  -0.622   1.297   1.984     5766.98     2709.14    -2648.31     6900.07
  -1.375  -0.626   1.301   1.994     5686.30     2674.02    -2593.11     6797.69
  -1.383  -0.630   1.305   2.003     5607.10     2639.50    -2539.17     6697.31
  -1.392  -0.634   1.309   2.013     5529.33     2605.58    -2486.46     6598.86
  -1.400  -0.638   1.312   2.022     5452.96     2572.24    -2434.93     6502.32
  -1.408  -0.642   1.316   2.032     5377.97     2539.46    -2384.57     6407.62
  -1.417  -0.646   1.320   2.041     5304.32     2507.25    -2335.33     6314.74
  -1.425  -0.650   1.323   2.051     5231.99     2475.58    -2287.20     6223.62
  -1.433  -0.654   1.327   2.060     5160.93     2444.44    -2240.14     6134.23
  -1.442  -0.658   1.331   2.070     5091.13     2413.83    -2194.12     6046.52
  -1.450  -0.662   1.334   2.079     5022.57     2383.72    -2149.13     5960.46
