 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.929  -0.424   1.447   1.771     6760.28     3164.39    -7429.79    10531.69
  -0.935  -0.427   1.454   1.781     6657.09     3119.94    -7296.12    10357.81
  -0.942  -0.430   1.461   1.791     6556.01     3076.33    -7165.49    10187.70
  -0.948  -0.433   1.468   1.800     6456.97     3033.55    -7037.80    10021.25
  -0.955  -0.436   1.475   1.810     6359.92     2991.59    -6912.98     9858.37
  -0.961  -0.439   1.482   1.820     6264.82     2950.41    -6790.96     9698.97
  -0.968  -0.442   1.489   1.830     6171.62     2910.00    -6671.65     9542.95
  -0.974  -0.445   1.496   1.840     6080.27     2870.34    -6554.99     9390.23
  -0.981  -0.448   1.503   1.850     5990.72     2831.42    -6440.90     9240.72
  -0.987  -0.451   1.510   1.860     5902.93     2793.22    -6329.32     9094.34
  -0.994  -0.454   1.517   1.869     5816.86     2755.72    -6220.17     8951.00
  -1.000  -0.457   1.524   1.879     5732.47     2718.91    -6113.41     8810.64
  -1.007  -0.460   1.531   1.889     5649.71     2682.76    -6008.95     8673.17
  -1.013  -0.463   1.538   1.899     5568.55     2647.27    -5906.75     8538.53
  -1.020  -0.466   1.545   1.909     5488.94     2612.42    -5806.74     8406.63
  -1.026  -0.469   1.552   1.919     5410.86     2578.19    -5708.87     8277.42
  -1.033  -0.473   1.559   1.928     5334.26     2544.57    -5613.08     8150.82
  -1.039  -0.476   1.565   1.938     5259.11     2511.56    -5519.32     8026.77
  -1.046  -0.479   1.572   1.948     5185.38     2479.12    -5427.54     7905.21
  -1.052  -0.482   1.579   1.958     5113.03     2447.26    -5337.68     7786.08
  -1.059  -0.485   1.586   1.968     5042.03     2415.95    -5249.70     7669.31
  -1.065  -0.488   1.593   1.978     4972.35     2385.19    -5163.56     7554.85
  -1.072  -0.491   1.600   1.987     4903.96     2354.97    -5079.20     7442.64
  -1.079  -0.495   1.607   1.997     4836.83     2325.26    -4996.57     7332.64
  -1.085  -0.498   1.613   2.007     4770.93     2296.07    -4915.65     7224.77
  -1.092  -0.501   1.620   2.017     4706.23     2267.38    -4836.38     7119.00
  -1.098  -0.504   1.627   2.027     4642.71     2239.18    -4758.72     7015.28
  -1.105  -0.507   1.634   2.037     4580.34     2211.45    -4682.64     6913.55
  -1.112  -0.511   1.640   2.046     4519.08     2184.19    -4608.10     6813.76
  -1.118  -0.514   1.647   2.056     4458.93     2157.40    -4535.05     6715.88
  -1.125  -0.517   1.654   2.066     4399.85     2131.05    -4463.47     6619.86
  -1.132  -0.520   1.661   2.076     4341.82     2105.14    -4393.31     6525.65
  -1.138  -0.523   1.667   2.086     4284.82     2079.66    -4324.54     6433.22
  -1.145  -0.527   1.674   2.095     4228.81     2054.60    -4257.14     6342.51
  -1.152  -0.530   1.681   2.105     4173.80     2029.95    -4191.06     6253.50
  -1.158  -0.533   1.688   2.115     4119.74     2005.71    -4126.27     6166.14
  -1.165  -0.536   1.694   2.125     4066.62     1981.86    -4062.75     6080.39
  -1.172  -0.540   1.701   2.135     4014.42     1958.40    -4000.47     5996.22
  -1.178  -0.543   1.708   2.145     3963.12     1935.32    -3939.39     5913.59
  -1.185  -0.546   1.714   2.154     3912.70     1912.61    -3879.49     5832.47
  -1.192  -0.550   1.721   2.164     3863.14     1890.26    -3820.74     5752.82
  -1.199  -0.553   1.728   2.174     3814.42     1868.27    -3763.11     5674.62
  -1.205  -0.556   1.734   2.184     3766.53     1846.63    -3706.58     5597.82
  -1.212  -0.559   1.741   2.194     3719.45     1825.33    -3651.12     5522.40
  -1.219  -0.563   1.747   2.203     3673.16     1804.37    -3596.71     5448.32
  -1.225  -0.566   1.754   2.213     3627.64     1783.73    -3543.33     5375.56
  -1.232  -0.569   1.761   2.223     3582.88     1763.42    -3490.94     5304.09
  -1.239  -0.573   1.767   2.233     3538.87     1743.43    -3439.53     5233.88
  -1.246  -0.576   1.774   2.243     3495.58     1723.74    -3389.08     5164.90
  -1.253  -0.579   1.780   2.252     3453.00     1704.36    -3339.56     5097.13
  -1.259  -0.583   1.787   2.262     3411.12     1685.27    -3290.96     5030.54
  -1.266  -0.586   1.793   2.272     3369.92     1666.48    -3243.25     4965.10
