yyyy/mmdd(or -ddd)/hh.h):2022/-329/18.5UT  geog Lat/Long/Alt= 78.2/  15.6/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 178471.6   NmF1=      0.0   NmE=   3029.3
Peak Heights/km:     hmF2=   279.14   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             115.8
Dip (Magnetic Inclination)/degree                      82.55
Modip (Modified Dip)/degree                            72.59
Solar Sunspot Number (12-months running mean) Rz12     73.3           
Ionospheric-Effective Solar Index IG12                 84.3           
Solar radio flux F10.7 (daily)                        105.7           
Solar radio flux F10.7 (81-day average)               130.3           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 700.0   18186  0.102  1025  1595  2137 762 121  83  34   0   0  -1   4.9  78
 710.0   17389  0.097  1025  1598  2171 752 126  88  34   0   0  -1   4.9  78
 720.0   16640  0.093  1025  1602  2204 742 130  93  35   0   0  -1   4.9  78
 730.0   15936  0.089  1025  1606  2238 733 132  99  36   0   0  -1   4.9  78
 740.0   15274  0.086  1025  1609  2272 725 134 104  37   0   0  -1   4.9  78
 750.0   14651  0.082  1025  1613  2305 718 134 110  38   0   0  -1   4.9  78
 760.0   14063  0.079  1025  1616  2339 711 133 116  39   0   0  -1   4.9  78
 770.0   13508  0.076  1025  1620  2372 706 131 122  41   0   0  -1   4.9  78
 780.0   12985  0.073  1025  1623  2405 701 128 129  42   0   0  -1   4.9  78
 790.0   12490  0.070  1025  1627  2437 696 125 136  44   0   0  -1   4.9  78
 800.0   12023  0.067  1025  1631  2468 691 121 143  45   0   0  -1   4.9  78
 810.0   11580  0.065  1025  1634  2499 686 117 150  47   0   0  -1   4.9  78
 820.0   11161  0.063  1025  1638  2527 681 113 157  48   0   0  -1   4.9  78
 830.0   10763  0.060  1025  1641  2553 676 109 165  50   0   0  -1   4.9  78
 840.0   10387  0.058  1025  1645  2576 670 105 173  52   0   0  -1   4.9  78
 850.0   10029  0.056  1025  1648  2594 664 101 181  53   0   0  -1   4.9  78
 860.0    9689  0.054  1025  1652  2608 658  97 189  55   0   0  -1   4.9  78
 870.0    9366  0.052  1025  1656  2618 652  94 197  57   0   0  -1   4.9  78
 880.0    9059  0.051  1025  1659  2624 646  90 206  59   0   0  -1   4.9  78
 890.0    8767  0.049  1025  1663  2628 640  87 214  60   0   0  -1   4.9  78
 900.0    8488  0.048  1025  1666  2630 634  83 221  62   0   0  -1   4.9  78
 910.0    8223  0.046  1025  1670  2631 628  80 229  63   0   0  -1   4.9  78
 920.0    7970  0.045  1025  1673  2631 623  77 236  65   0   0  -1   4.9  78
 930.0    7728  0.043  1025  1677  2631 618  74 243  66   0   0  -1   4.9  78
 940.0    7498  0.042  1025  1681  2630 613  71 249  67   0   0  -1   4.9  78
 950.0    7277  0.041  1025  1684  2629 608  68 256  68   0   0  -1   4.9  78
 960.0    7067  0.040  1025  1688  2628 603  65 262  70   0   0  -1   4.9  78
 970.0    6865  0.038  1025  1691  2627 598  63 268  71   0   0  -1   4.9  78
 980.0    6673  0.037  1025  1695  2625 593  61 275  72   0   0  -1   4.9  78
 990.0    6488  0.036  1025  1699  2624 588  58 281  73   0   0  -1   4.9  78
1000.0    6311  0.035  1025  1702  2623 582  56 288  74   0   0  -1   4.9  78
1010.0    6142  0.034  1025  1706  2621 576  54 294  75   0   0  -1   4.9  78
1020.0    5979  0.034  1025  1709  2620 571  52 301  76   0   0  -1   4.9  78
1030.0    5823  0.033  1025  1713  2619 565  50 308  77   0   0  -1   4.9  78
1040.0    5673  0.032  1025  1716  2618 559  48 314  78   0   0  -1   4.9  78
1050.0    5529  0.031  1025  1720  2616 553  46 321  79   0   0  -1   4.9  78
1060.0    5391  0.030  1025  1724  2615 547  45 328  80   0   0  -1   4.9  78
1070.0    5258  0.029  1025  1727  2614 541  43 335  81   0   0  -1   4.9  78
1080.0    5130  0.029  1025  1731  2612 535  41 342  82   0   0  -1   4.9  78
1090.0    5007  0.028  1025  1734  2611 528  40 349  83   0   0  -1   4.9  78
1100.0    4889  0.027  1025  1738  2610 522  38 356  84   0   0  -1   4.9  78
1110.0    4775  0.027  1025  1741  2608 516  36 363  85   0   0  -1   4.9  78
1120.0    4665  0.026  1025  1745  2607 509  35 370  86   0   0  -1   4.9  78
1130.0    4559  0.026  1025  1749  2606 502  34 377  87   0   0  -1   4.9  78
1140.0    4457  0.025  1025  1752  2604 496  32 384  88   0   0  -1   4.9  78
1150.0    4358  0.024  1025  1756  2603 489  31 391  89   0   0  -1   4.9  78
1160.0    4263  0.024  1025  1759  2602 482  30 398  90   0   0  -1   4.9  78
1170.0    4171  0.023  1025  1763  2601 475  28 405  91   0   0  -1   4.9  78
1180.0    4082  0.023  1025  1766  2599 469  27 413  92   0   0  -1   4.9  78
1190.0    3997  0.022  1025  1770  2598 462  26 420  93   0   0  -1   4.9  78
1200.0    3914  0.022  1025  1774  2597 455  25 427  93   0   0  -1   4.9  78
1210.0    3834  0.021  1025  1777  2595 448  24 434  94   0   0  -1   4.9  78
1220.0    3756  0.021  1025  1781  2594 441  23 441  95   0   0  -1   4.9  78
