 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.929  -0.423   1.447   1.771     6735.57     3138.82    -7386.94    10477.93
  -0.936  -0.426   1.454   1.781     6632.37     3094.60    -7253.19    10304.06
  -0.942  -0.429   1.461   1.791     6531.28     3051.23    -7122.48    10133.97
  -0.949  -0.432   1.468   1.800     6432.23     3008.69    -6994.71     9967.54
  -0.955  -0.435   1.475   1.810     6335.17     2966.96    -6869.82     9804.68
  -0.961  -0.438   1.482   1.820     6240.06     2926.01    -6747.72     9645.29
  -0.968  -0.441   1.489   1.830     6146.85     2885.83    -6628.34     9489.29
  -0.974  -0.444   1.496   1.840     6055.48     2846.40    -6511.61     9336.59
  -0.981  -0.447   1.503   1.850     5965.92     2807.70    -6397.45     9187.10
  -0.987  -0.450   1.510   1.860     5878.13     2769.72    -6285.79     9040.73
  -0.994  -0.453   1.517   1.869     5792.04     2732.44    -6176.58     8897.42
  -1.000  -0.456   1.524   1.879     5707.64     2695.84    -6069.74     8757.08
  -1.007  -0.459   1.531   1.889     5624.86     2659.91    -5965.22     8619.63
  -1.014  -0.462   1.538   1.899     5543.69     2624.63    -5862.95     8485.00
  -1.020  -0.465   1.545   1.909     5464.07     2589.99    -5762.87     8353.13
  -1.027  -0.469   1.552   1.919     5385.97     2555.97    -5664.93     8223.94
  -1.033  -0.472   1.558   1.928     5309.36     2522.56    -5569.08     8097.36
  -1.040  -0.475   1.565   1.938     5234.20     2489.75    -5475.25     7973.34
  -1.046  -0.478   1.572   1.948     5160.45     2457.52    -5383.41     7851.80
  -1.053  -0.481   1.579   1.958     5088.09     2425.85    -5293.49     7732.69
  -1.059  -0.484   1.586   1.968     5017.07     2394.75    -5205.45     7615.94
  -1.066  -0.487   1.593   1.978     4947.38     2364.19    -5119.24     7501.50
  -1.073  -0.490   1.600   1.987     4878.97     2334.16    -5034.82     7389.32
