 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.930  -0.423   1.447   1.771     6769.28     3155.52    -7404.98    10517.33
  -0.936  -0.426   1.454   1.781     6666.02     3111.21    -7271.35    10343.49
  -0.943  -0.429   1.461   1.791     6564.85     3067.74    -7140.75    10173.42
  -0.949  -0.432   1.468   1.800     6465.72     3025.10    -7013.10    10007.01
  -0.955  -0.435   1.475   1.810     6368.59     2983.27    -6888.32     9844.17
  -0.962  -0.438   1.482   1.820     6273.40     2942.23    -6766.33     9684.81
  -0.968  -0.441   1.489   1.830     6180.10     2901.95    -6647.06     9528.82
  -0.975  -0.444   1.496   1.840     6088.66     2862.43    -6530.44     9376.13
  -0.981  -0.447   1.503   1.850     5999.02     2823.64    -6416.38     9226.65
  -0.988  -0.450   1.510   1.859     5911.13     2785.56    -6304.84     9080.30
  -0.994  -0.453   1.516   1.869     5824.97     2748.18    -6195.73     8936.99
  -1.001  -0.457   1.523   1.879     5740.47     2711.49    -6089.00     8796.66
  -1.007  -0.460   1.530   1.889     5657.62     2675.47    -5984.59     8659.21
  -1.014  -0.463   1.537   1.899     5576.35     2640.09    -5882.42     8524.59
  -1.021  -0.466   1.544   1.909     5496.65     2605.36    -5782.45     8392.72
  -1.027  -0.469   1.551   1.918     5418.46     2571.25    -5684.62     8263.53
  -1.034  -0.472   1.558   1.928     5341.76     2537.74    -5588.87     8136.95
  -1.040  -0.475   1.565   1.938     5266.51     2504.84    -5495.15     8012.92
  -1.047  -0.478   1.572   1.948     5192.67     2472.51    -5403.40     7891.38
  -1.053  -0.481   1.578   1.958     5120.21     2440.75    -5313.58     7772.26
  -1.060  -0.485   1.585   1.968     5049.11     2409.55    -5225.65     7655.51
  -1.067  -0.488   1.592   1.977     4979.32     2378.90    -5139.54     7541.07
  -1.073  -0.491   1.599   1.987     4910.82     2348.78    -5055.22     7428.87
  -1.080  -0.494   1.606   1.997     4843.58     2319.17    -4972.63     7318.88
  -1.086  -0.497   1.612   2.007     4777.57     2290.08    -4891.75     7211.02
  -1.093  -0.500   1.619   2.017     4712.77     2261.49    -4812.52     7105.27
  -1.100  -0.504   1.626   2.027     4649.13     2233.38    -4734.90     7001.55
  -1.106  -0.507   1.633   2.036     4586.65     2205.75    -4658.86     6899.83
  -1.113  -0.510   1.640   2.046     4525.28     2178.59    -4584.36     6800.06
  -1.120  -0.513   1.646   2.056     4465.02     2151.88    -4511.35     6702.18
  -1.126  -0.516   1.653   2.066     4405.83     2125.62    -4439.81     6606.17
  -1.133  -0.520   1.660   2.076     4347.69     2099.80    -4369.69     6511.97
  -1.140  -0.523   1.666   2.085     4290.57     2074.41    -4300.97     6419.54
  -1.146  -0.526   1.673   2.095     4234.46     2049.44    -4233.60     6328.84
  -1.153  -0.529   1.680   2.105     4179.32     2024.88    -4167.56     6239.83
  -1.160  -0.533   1.686   2.115     4125.15     2000.72    -4102.82     6152.47
  -1.166  -0.536   1.693   2.125     4071.92     1976.95    -4039.34     6066.73
  -1.173  -0.539   1.700   2.135     4019.61     1953.57    -3977.10     5982.56
  -1.180  -0.542   1.706   2.144     3968.20     1930.57    -3916.06     5899.93
  -1.187  -0.546   1.713   2.154     3917.66     1907.94    -3856.20     5818.82
  -1.193  -0.549   1.720   2.164     3867.99     1885.67    -3797.50     5739.17
  -1.200  -0.552   1.726   2.174     3819.16     1863.76    -3739.91     5660.96
  -1.207  -0.556   1.733   2.184     3771.16     1842.19    -3683.42     5584.17
  -1.214  -0.559   1.739   2.193     3723.96     1820.97    -3628.01     5508.74
  -1.220  -0.562   1.746   2.203     3677.56     1800.08    -3573.64     5434.67
  -1.227  -0.565   1.753   2.213     3631.93     1779.52    -3520.30     5361.91
  -1.234  -0.569   1.759   2.223     3587.05     1759.28    -3467.96     5290.44
  -1.241  -0.572   1.766   2.233     3542.92     1739.35    -3416.59     5220.23
  -1.248  -0.575   1.772   2.242     3499.52     1719.74    -3366.18     5151.25
  -1.254  -0.579   1.779   2.252     3456.83     1700.42    -3316.71     5083.47
  -1.261  -0.582   1.785   2.262     3414.84     1681.41    -3268.15     5016.88
  -1.268  -0.585   1.792   2.272     3373.53     1662.68    -3220.49     4951.44
  -1.275  -0.589   1.798   2.282     3332.89     1644.24    -3173.69     4887.13
  -1.282  -0.592   1.805   2.291     3292.91     1626.08    -3127.75     4823.92
  -1.288  -0.596   1.811   2.301     3253.57     1608.19    -3082.65     4761.80
  -1.295  -0.599   1.818   2.311     3214.86     1590.57    -3038.36     4700.73
  -1.302  -0.602   1.824   2.321     3176.77     1573.22    -2994.88     4640.71
  -1.309  -0.606   1.831   2.331     3139.28     1556.13    -2952.17     4581.69
  -1.316  -0.609   1.837   2.340     3102.38     1539.29    -2910.23     4523.68
  -1.323  -0.613   1.844   2.350     3066.07     1522.70    -2869.04     4466.63
  -1.330  -0.616   1.850   2.360     3030.33     1506.35    -2828.58     4410.54
  -1.336  -0.619   1.856   2.370     2995.14     1490.25    -2788.83     4355.38
  -1.343  -0.623   1.863   2.380     2960.51     1474.38    -2749.79     4301.13
  -1.350  -0.626   1.869   2.389     2926.41     1458.74    -2711.43     4247.78
  -1.357  -0.630   1.876   2.399     2892.84     1443.33    -2673.75     4195.31
  -1.364  -0.633   1.882   2.409     2859.78     1428.14    -2636.72     4143.70
  -1.371  -0.637   1.888   2.419     2827.23     1413.17    -2600.34     4092.93
  -1.378  -0.640   1.895   2.428     2795.18     1398.41    -2564.58     4042.98
  -1.385  -0.643   1.901   2.438     2763.62     1383.87    -2529.45     3993.84
  -1.392  -0.647   1.907   2.448     2732.53     1369.53    -2494.92     3945.50
  -1.399  -0.650   1.914   2.458     2701.92     1355.40    -2460.98     3897.93
  -1.405  -0.654   1.920   2.468     2671.76     1341.46    -2427.61     3851.12
  -1.412  -0.657   1.926   2.477     2642.06     1327.72    -2394.82     3805.06
  -1.419  -0.661   1.932   2.487     2612.80     1314.18    -2362.58     3759.73
  -1.426  -0.664   1.939   2.497     2583.97     1300.82    -2330.89     3715.12
  -1.433  -0.668   1.945   2.507     2555.58     1287.65    -2299.73     3671.21
  -1.440  -0.671   1.951   2.516     2527.60     1274.66    -2269.09     3627.99
  -1.447  -0.675   1.958   2.526     2500.03     1261.86    -2238.96     3585.44
  -1.454  -0.678   1.964   2.536     2472.86     1249.22    -2209.34     3543.56
  -1.461  -0.682   1.970   2.546     2446.10     1236.76    -2180.21     3502.33
  -1.468  -0.686   1.976   2.556     2419.72     1224.48    -2151.56     3461.73
  -1.475  -0.689   1.982   2.565     2393.72     1212.35    -2123.38     3421.76
  -1.482  -0.693   1.989   2.575     2368.10     1200.40    -2095.66     3382.41
  -1.489  -0.696   1.995   2.585     2342.85     1188.60    -2068.40     3343.65
  -1.496  -0.700   2.001   2.595     2317.96     1176.96    -2041.58     3305.49
  -1.503  -0.703   2.007   2.604     2293.43     1165.48    -2015.20     3267.90
  -1.510  -0.707   2.013   2.614     2269.24     1154.15    -1989.25     3230.89
  -1.517  -0.710   2.019   2.624     2245.40     1142.98    -1963.71     3194.43
  -1.524  -0.714   2.026   2.634     2221.89     1131.95    -1938.59     3158.52
  -1.531  -0.718   2.032   2.643     2198.71     1121.06    -1913.87     3123.14
  -1.538  -0.721   2.038   2.653     2175.86     1110.32    -1889.54     3088.29
  -1.545  -0.725   2.044   2.663     2153.33     1099.72    -1865.60     3053.96
  -1.552  -0.728   2.050   2.673     2131.12     1089.26    -1842.04     3020.14
  -1.559  -0.732   2.056   2.682     2109.21     1078.94    -1818.85     2986.82
  -1.567  -0.736   2.062   2.692     2087.60     1068.75    -1796.03     2953.99
  -1.574  -0.739   2.068   2.702     2066.29     1058.69    -1773.57     2921.63
  -1.581  -0.743   2.074   2.712     2045.28     1048.76    -1751.46     2889.75
  -1.588  -0.746   2.080   2.722     2024.55     1038.96    -1729.70     2858.34
  -1.595  -0.750   2.087   2.731     2004.10     1029.28    -1708.27     2827.37
  -1.602  -0.754   2.093   2.741     1983.94     1019.73    -1687.18     2796.86
  -1.609  -0.757   2.099   2.751     1964.04     1010.30    -1666.41     2766.78
  -1.616  -0.761   2.105   2.761     1944.41     1000.99    -1645.96     2737.14
