# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 0
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.3
# SW velocity: 721.0
# IMF By: -2.6
# IMF Bz: -3.7
# Dst: -62.0
# DIR: 1
# Geographic Geocentric Latitude: 69.65
# Longitude: 18.955
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -1.127  -0.512   1.176   1.708     8933.13     4061.18    -4985.62    11006.84
  -1.136  -0.515   1.180   1.717     8790.37     4000.78    -4873.74    10818.05
  -1.144  -0.519   1.185   1.727     8650.57     3941.58    -4764.71    10633.48
  -1.152  -0.523   1.189   1.736     8513.66     3883.54    -4658.44    10453.00
  -1.160  -0.527   1.194   1.746     8379.56     3826.64    -4554.85    10276.52
  -1.168  -0.530   1.198   1.755     8248.22     3770.84    -4453.86    10103.92
  -1.176  -0.534   1.203   1.765     8119.55     3716.13    -4355.39     9935.10
  -1.185  -0.538   1.207   1.775     7993.49     3662.48    -4259.37     9769.95
  -1.193  -0.541   1.211   1.784     7869.98     3609.86    -4165.74     9608.38
  -1.201  -0.545   1.216   1.794     7748.95     3558.24    -4074.41     9450.30
  -1.209  -0.549   1.220   1.803     7630.34     3507.61    -3985.34     9295.61
  -1.217  -0.553   1.224   1.813     7514.10     3457.93    -3898.44     9144.22
  -1.226  -0.557   1.228   1.822     7400.16     3409.20    -3813.67     8996.05
  -1.234  -0.560   1.233   1.832     7288.46     3361.37    -3730.96     8851.02
  -1.242  -0.564   1.237   1.841     7178.96     3314.44    -3650.25     8709.04
  -1.250  -0.568   1.241   1.851     7071.60     3268.39    -3571.49     8570.03
  -1.259  -0.572   1.245   1.861     6966.34     3223.18    -3494.62     8433.93
  -1.267  -0.576   1.249   1.870     6863.11     3178.81    -3419.59     8300.64
  -1.275  -0.579   1.254   1.880     6761.87     3135.26    -3346.35     8170.11
  -1.283  -0.583   1.258   1.889     6662.57     3092.49    -3274.85     8042.27
  -1.292  -0.587   1.262   1.899     6565.17     3050.51    -3205.05     7917.04
  -1.300  -0.591   1.266   1.908     6469.63     3009.28    -3136.89     7794.35
  -1.308  -0.595   1.270   1.918     6375.89     2968.80    -3070.33     7674.16
  -1.317  -0.599   1.274   1.927     6283.93     2929.05    -3005.33     7556.39
  -1.325  -0.603   1.278   1.937     6193.68     2890.00    -2941.85     7440.99
  -1.333  -0.606   1.282   1.946     6105.13     2851.65    -2879.84     7327.89
  -1.342  -0.610   1.286   1.956     6018.22     2813.97    -2819.27     7217.04
  -1.350  -0.614   1.289   1.965     5932.93     2776.96    -2760.09     7108.39
  -1.358  -0.618   1.293   1.975     5849.20     2740.60    -2702.28     7001.88
  -1.367  -0.622   1.297   1.984     5767.02     2704.87    -2645.79     6897.46
  -1.375  -0.626   1.301   1.994     5686.34     2669.76    -2590.59     6795.08
  -1.383  -0.630   1.305   2.003     5607.12     2635.26    -2536.64     6694.70
  -1.392  -0.634   1.309   2.013     5529.34     2601.35    -2483.92     6596.25
  -1.400  -0.638   1.312   2.022     5452.97     2568.03    -2432.39     6499.71
  -1.408  -0.642   1.316   2.032     5377.97     2535.27    -2382.02     6405.01
  -1.417  -0.646   1.320   2.041     5304.31     2503.07    -2332.78     6312.13
  -1.425  -0.650   1.323   2.051     5231.96     2471.42    -2284.65     6221.01
  -1.434  -0.654   1.327   2.060     5160.90     2440.30    -2237.58     6131.61
  -1.442  -0.658   1.331   2.070     5091.09     2409.70    -2191.56     6043.91
  -1.451  -0.662   1.334   2.079     5022.51     2379.61    -2146.56     5957.85
  -1.459  -0.666   1.338   2.088     4955.14     2350.03    -2102.55     5873.39
  -1.467  -0.670   1.341   2.098     4888.94     2320.93    -2059.51     5790.51
  -1.476  -0.674   1.345   2.107     4823.88     2292.31    -2017.42     5709.16
  -1.484  -0.678   1.349   2.117     4759.96     2264.17    -1976.24     5629.32
  -1.493  -0.682   1.352   2.126     4697.14     2236.48    -1935.96     5550.93
  -1.501  -0.686   1.356   2.136     4635.39     2209.24    -1896.56     5473.99
  -1.510  -0.690   1.359   2.145     4574.70     2182.45    -1858.01     5398.44
  -1.518  -0.694   1.362   2.155     4515.05     2156.09    -1820.29     5324.27
  -1.527  -0.698   1.366   2.164     4456.40     2130.15    -1783.38     5251.43
  -1.535  -0.702   1.369   2.174     4398.75     2104.63    -1747.26     5179.90
  -1.544  -0.706   1.373   2.183     4342.06     2079.51    -1711.92     5109.65
  -1.552  -0.710   1.376   2.192     4286.33     2054.80    -1677.33     5040.66
  -1.561  -0.714   1.379   2.202     4231.52     2030.47    -1643.47     4972.89
  -1.569  -0.718   1.383   2.211     4177.63     2006.53    -1610.33     4906.31
  -1.578  -0.722   1.386   2.221     4124.63     1982.96    -1577.89     4840.91
  -1.586  -0.726   1.389   2.230     4072.50     1959.77    -1546.14     4776.66
  -1.595  -0.731   1.392   2.239     4021.23     1936.93    -1515.05     4713.53
  -1.603  -0.735   1.395   2.249     3970.79     1914.45    -1484.61     4651.49
  -1.612  -0.739   1.399   2.258     3921.18     1892.31    -1454.81     4590.53
  -1.620  -0.743   1.402   2.268     3872.38     1870.52    -1425.63     4530.62
  -1.629  -0.747   1.405   2.277     3824.36     1849.05    -1397.05     4471.74
  -1.637  -0.751   1.408   2.287     3777.12     1827.92    -1369.07     4413.87
  -1.646  -0.755   1.411   2.296     3730.63     1807.11    -1341.66     4356.98
  -1.655  -0.760   1.414   2.305     3684.89     1786.61    -1314.82     4301.06
  -1.663  -0.764   1.417   2.315     3639.88     1766.42    -1288.53     4246.09
  -1.672  -0.768   1.420   2.324     3595.58     1746.53    -1262.78     4192.03
  -1.680  -0.772   1.423   2.333     3551.98     1726.95    -1237.55     4138.89
  -1.689  -0.776   1.426   2.343     3509.06     1707.65    -1212.84     4086.63
  -1.697  -0.780   1.429   2.352     3466.82     1688.64    -1188.63     4035.24
  -1.706  -0.785   1.432   2.362     3425.24     1669.91    -1164.90     3984.71
  -1.715  -0.789   1.435   2.371     3384.31     1651.46    -1141.66     3935.00
  -1.723  -0.793   1.438   2.380     3344.01     1633.28    -1118.89     3886.12
  -1.732  -0.797   1.441   2.390     3304.34     1615.36    -1096.57     3838.03
  -1.741  -0.801   1.444   2.399     3265.27     1597.70    -1074.71     3790.73
  -1.749  -0.806   1.446   2.408     3226.81     1580.31    -1053.28     3744.20
  -1.758  -0.810   1.449   2.418     3188.93     1563.16    -1032.27     3698.42
  -1.766  -0.814   1.452   2.427     3151.63     1546.26    -1011.69     3653.38
  -1.775  -0.818   1.455   2.437     3114.90     1529.60     -991.51     3609.06
  -1.784  -0.823   1.458   2.446     3078.72     1513.18     -971.73     3565.45
